Client ID,Service Start Date,pass/fail
1085,2/28/2019,fail
5944,2/28/2019,fail
6590,2/28/2019,fail
9781,2/28/2019,fail
9128,2/28/2019,fail
832,2/28/2019,fail
8680,2/28/2019,fail
5888,7/12/2019,fail
80,7/12/2019,fail
8479,7/12/2019,fail
1386,7/3/2022,fail
4305,4/18/2019,fail
2283,4/18/2019,fail
5861,4/18/2019,fail
8800,4/24/2019,fail
6590,4/18/2019,fail
80,4/18/2019,fail
81,4/18/2019,fail
4305,7/12/2019,fail
8840,3/4/2019,fail
38,3/4/2019,fail
2924,3/4/2019,fail
8479,3/4/2019,fail
6205,3/4/2019,fail
80,3/4/2019,fail
6590,3/4/2019,fail
7069,7/12/2019,fail
6899,7/12/2019,fail
10457,5/24/2019,fail
166,5/24/2019,fail
4530,7/12/2019,fail
3907,3/7/2019,fail
6590,3/7/2019,fail
8840,3/7/2019,fail
9127,3/7/2019,fail
4306,3/7/2019,fail
5268,3/7/2019,fail
9127,3/7/2019,fail
4444,3/7/2019,fail
4781,3/7/2019,fail
4530,3/7/2019,fail
8597,3/7/2019,fail
80,3/7/2019,fail
8479,3/7/2019,fail
10761,5/24/2019,fail
8495,3/7/2019,fail
8490,3/7/2019,fail
3868,3/7/2019,fail
1083,3/7/2019,fail
1083,3/8/2019,fail
8495,3/8/2019,fail
8840,3/4/2019,fail
1386,7/3/2022,fail
9143,5/24/2019,fail
4530,7/12/2019,fail
8840,5/24/2019,fail
9781,3/8/2019,fail
5944,3/8/2019,fail
8479,3/6/2019,fail
934,3/6/2019,fail
1152,3/6/2019,fail
8597,3/6/2019,fail
820,3/6/2019,fail
752,3/6/2019,fail
832,3/6/2019,fail
2283,3/6/2019,fail
8840,3/6/2019,fail
80,3/6/2019,fail
4306,3/6/2019,fail
832,3/6/2019,fail
168,3/6/2019,fail
8597,3/6/2019,fail
10293,3/6/2019,fail
6590,3/6/2019,fail
6590,3/6/2019,fail
81,3/6/2019,fail
10293,5/24/2019,fail
8479,7/12/2019,fail
4506,5/24/2019,fail
81,5/24/2019,fail
4444,4/29/2019,fail
10529,4/29/2019,fail
1704,4/18/2019,fail
10362,4/30/2019,fail
10363,4/30/2019,fail
8479,4/24/2019,fail
80,7/12/2019,fail
1704,5/24/2019,fail
6372,5/24/2019,fail
10363,5/24/2019,fail
166,5/24/2019,fail
752,5/24/2019,fail
5141,5/27/2019,fail
9143,5/27/2019,fail
7069,5/27/2019,fail
8479,5/27/2019,fail
8490,5/27/2019,fail
6879,5/27/2019,fail
4444,5/24/2019,fail
8597,5/24/2019,fail
10761,5/24/2019,fail
752,5/27/2019,fail
5141,5/27/2019,fail
8840,5/27/2019,fail
8840,5/27/2019,fail
7759,5/27/2019,fail
4444,5/27/2019,fail
8049,5/27/2019,fail
9655,7/12/2019,fail
8660,7/12/2019,fail
752,5/27/2019,fail
8479,5/27/2019,fail
5721,5/27/2019,fail
10237,3/14/2019,fail
5873,3/14/2019,fail
9143,5/27/2019,fail
38,7/15/2019,fail
80,3/8/2019,fail
81,3/8/2019,fail
5380,3/8/2019,fail
7069,7/23/2019,fail
977,7/23/2019,fail
7019,7/23/2019,fail
80,9/8/2019,fail
1083,3/8/2019,fail
10189,3/8/2019,fail
6590,3/8/2019,fail
8479,3/8/2019,fail
362,7/3/2022,fail
166,3/8/2019,fail
10293,3/8/2019,fail
6590,3/8/2019,fail
5861,3/8/2019,fail
6879,3/8/2019,fail
8479,3/8/2019,fail
8490,3/8/2019,fail
9127,3/8/2019,fail
9127,3/8/2019,fail
4444,3/7/2019,fail
832,3/7/2019,fail
934,3/7/2019,fail
6590,3/7/2019,fail
8479,3/7/2019,fail
537,3/7/2019,fail
9808,3/7/2019,fail
7069,3/7/2019,fail
8840,3/7/2019,fail
5268,3/12/2019,fail
81,3/7/2019,fail
80,3/7/2019,fail
5721,3/7/2019,fail
10189,3/7/2019,fail
1083,3/7/2019,fail
81,3/7/2019,fail
80,3/7/2019,fail
5222,3/7/2019,fail
166,3/12/2019,fail
8490,3/12/2019,fail
4305,3/12/2019,fail
820,3/12/2019,fail
8597,3/12/2019,fail
5861,3/12/2019,fail
8597,3/12/2019,fail
10293,3/12/2019,fail
8495,3/12/2019,fail
8495,3/11/2019,fail
2283,3/11/2019,fail
10237,3/11/2019,fail
6590,3/11/2019,fail
5071,3/11/2019,fail
752,3/11/2019,fail
5873,3/11/2019,fail
2476,3/11/2019,fail
6082,3/11/2019,fail
5861,3/11/2019,fail
6737,3/11/2019,fail
7766,3/11/2019,fail
8840,3/13/2019,fail
9127,3/13/2019,fail
8597,3/13/2019,fail
6724,3/13/2019,fail
7019,3/13/2019,fail
9655,7/15/2019,fail
81,3/14/2019,fail
80,3/14/2019,fail
4305,3/14/2019,fail
9619,4/18/2019,fail
2283,4/18/2019,fail
8171,4/25/2019,fail
4530,4/25/2019,fail
1704,4/18/2019,fail
8680,4/25/2019,fail
7008,4/25/2019,fail
4305,4/29/2019,fail
832,4/25/2019,fail
8168,4/25/2019,fail
2476,4/26/2019,fail
9655,4/26/2019,fail
4444,4/30/2019,fail
2846,4/26/2019,fail
12230,4/25/2019,fail
4530,4/30/2019,fail
832,3/14/2019,fail
9655,7/15/2019,fail
9429,7/15/2019,fail
832,3/14/2019,fail
8597,3/14/2019,fail
8840,3/14/2019,fail
5721,3/14/2019,fail
8597,3/14/2019,fail
4306,3/14/2019,fail
9781,3/13/2019,fail
752,3/13/2019,fail
5861,3/13/2019,fail
4305,3/13/2019,fail
4305,3/13/2019,fail
10189,3/13/2019,fail
832,7/15/2019,fail
2283,4/8/2019,fail
166,4/8/2019,fail
6724,4/8/2019,fail
9621,4/8/2019,fail
8479,4/8/2019,fail
9985,4/8/2019,fail
80,4/8/2019,fail
619,4/8/2019,fail
2161,4/9/2019,fail
8597,4/9/2019,fail
6590,4/9/2019,fail
80,4/9/2019,fail
166,4/9/2019,fail
7069,4/10/2019,fail
1704,4/10/2019,fail
2283,4/19/2019,fail
3907,4/19/2019,fail
362,7/3/2022,fail
3601,4/19/2019,fail
8594,4/22/2019,fail
8490,4/25/2019,fail
166,4/8/2019,fail
8490,4/8/2019,fail
8597,4/8/2019,fail
80,3/18/2019,fail
10396,3/18/2019,fail
7942,3/18/2019,fail
832,3/18/2019,fail
166,3/18/2019,fail
8495,3/18/2019,fail
